actor_lr,rollout/ep_steps,critic_lr,time_elapsed,epoch,total_rollout_steps,rollout/return
0.0001,200.0,0.0001,133.69274711608887,51,10400,-95.70330893409778,,,,,,,-0.72682554,0.18193558
0.0001,200.0,0.0001,136.76721930503845,52,10600,-95.05412158634257,,,,,,,-0.7872276,0.07170049
0.0001,200.0,0.0001,139.87701439857483,53,10800,-95.42646130825369,,,,,,,-0.7793745,0.010137908
0.0001,200.0,0.0001,142.9440586566925,54,11000,-95.1543582442595,,,,,,,-0.7322861,0.006642346
0.0001,200.0,0.0001,146.02384400367737,55,11200,-94.88331338511833,,,,,,,-0.7074109,0.0065769213
0.0001,200.0,0.0001,149.15928649902344,56,11400,-77.60122297980026,,,,,,,-0.6508958,0.0063308086
0.0001,200.0,0.0001,152.25793862342834,57,11600,-77.56103512467169,,,,,,,-0.60004336,0.006618934
0.0001,200.0,0.0001,155.37752079963684,58,11800,-78.33273140588626,,,,,,,-0.53395313,0.0064427867
0.0001,200.0,0.0001,158.46603798866272,59,12000,-77.66884700403834,,,,,,,-0.4648636,0.0068696863
0.0001,200.0,0.0001,161.55208683013916,60,12200,-78.57254318346469,,,,,,,-0.40696442,0.0064936145
0.0001,200.0,0.0001,164.62836503982544,61,12400,-77.68180880086639,,,,,,,-0.33725286,0.0074425787
0.0001,200.0,0.0001,167.70414805412292,62,12600,-78.23733961456499,,,,,,,-0.2589521,0.0075861923
0.0001,200.0,0.0001,170.77059292793274,63,12800,-78.2632792417509,,,,,,,-0.22445019,0.0076082605
0.0001,200.0,0.0001,173.87487363815308,64,13000,-71.03364588237771,,,,,,,-0.14341486,0.00875487
0.0001,200.0,0.0001,176.97628903388977,65,13200,-78.06494485211638,,,,,,,-0.054403067,0.008802064
0.0001,200.0,0.0001,180.11007070541382,66,13400,-77.72660202033852,,,,,,,0.0032271,0.008618729
0.0001,200.0,0.0001,183.224858045578,67,13600,-77.8939090218337,,,,,,,0.09818364,0.00913418
0.0001,200.0,0.0001,186.35650491714478,68,13800,-78.40498031580057,,,,,,,0.18219782,0.00892305
0.0001,200.0,0.0001,189.4655797481537,69,14000,-78.43632517770898,,,,,,,0.20144495,0.00992265
0.0001,200.0,0.0001,192.57890248298645,70,14200,-78.58912951901794,,,,,,,0.2974964,0.010103621
0.0001,200.0,0.0001,195.70990872383118,71,14400,-77.96743849294973,,,,,,,0.38895938,0.010437795
0.0001,200.0,0.0001,198.80704045295715,72,14600,-77.99718750559003,,,,,,,0.38413468,0.011322524
0.0001,200.0,0.0001,201.87177801132202,73,14800,-77.94436709151927,,,,,,,0.49672738,0.010419071
0.0001,200.0,0.0001,204.95381426811218,74,15000,-77.95933643063485,,,,,,,0.550316,0.0110565685
0.0001,200.0,0.0001,208.08537483215332,75,15200,-78.18974742802854,,,,,,,0.6218272,0.011472335
0.0001,200.0,0.0001,211.1048789024353,76,15400,-77.2815491751077,,,,,,,0.6789974,0.011129549
0.0001,200.0,0.0001,214.22806930541992,77,15600,-78.32828078865491,,,,,,,0.73439986,0.011863222
0.0001,200.0,0.0001,217.36956429481506,78,15800,-78.04986716832197,,,,,,,0.77420115,0.010988743
0.0001,200.0,0.0001,220.39682507514954,79,16000,-78.46781268859421,,,,,,,0.85195106,0.011478055
0.0001,200.0,0.0001,223.52055978775024,80,16200,-78.22822026023074,,,,,,,0.85550314,0.010884955
0.0001,200.0,0.0001,226.60391545295715,81,16400,-78.13199773158064,,,,,,,0.9237761,0.011486394
0.0001,200.0,0.0001,229.68945384025574,82,16600,-78.45823643147378,,,,,,,1.0635362,0.011356759
0.0001,200.0,0.0001,232.75392889976501,83,16800,-78.16384690552582,,,,,,,1.055839,0.012868549
0.0001,200.0,0.0001,235.8681857585907,84,17000,-78.32639850817577,,,,,,,1.1284713,0.0117566455
0.0001,200.0,0.0001,238.9522807598114,85,17200,-80.30509505698038,,,,,,,1.1922354,0.011962554
0.0001,200.0,0.0001,242.0728907585144,86,17400,-77.71731363467923,,,,,,,1.2506953,0.013304763
0.0001,200.0,0.0001,245.16531705856323,87,17600,-78.26026672989265,,,,,,,1.2874564,0.011628048
0.0001,200.0,0.0001,248.2815716266632,88,17800,-78.15289126267149,,,,,,,1.3502069,0.012185987
0.0001,200.0,0.0001,251.4061563014984,89,18000,-77.8273222562999,,,,,,,1.4345834,0.012009353
0.0001,200.0,0.0001,254.54054260253906,90,18200,-78.29901465313978,,,,,,,1.4825761,0.012234086
0.0001,200.0,0.0001,257.64236211776733,91,18400,-77.64936301382932,,,,,,,1.5096349,0.011949178
0.0001,200.0,0.0001,260.7596106529236,92,18600,-77.67857342508447,,,,,,,1.5939589,0.012513871
0.0001,200.0,0.0001,263.86678647994995,93,18800,-78.06201810422384,,,,,,,1.6169312,0.012506756
0.0001,200.0,0.0001,266.99028062820435,94,19000,-78.13016164502152,,,,,,,1.6804411,0.014575007
0.0001,200.0,0.0001,270.1126039028168,95,19200,-78.5736166509421,,,,,,,1.7119862,0.012651664
0.0001,200.0,0.0001,273.2115783691406,96,19400,-78.5709902812855,,,,,,,1.808482,0.012662184
0.0001,200.0,0.0001,276.3260078430176,97,19600,-77.96525269258184,,,,,,,1.8364908,0.012827245
0.0001,200.0,0.0001,279.45330905914307,98,19800,-78.09169920297109,,,,,,,1.9829637,0.012365791
0.0001,200.0,0.0001,282.55852246284485,99,20000,-78.58446880486152,,,,,,,1.9649475,0.012928199
0.0001,200.0,0.0001,285.6729588508606,100,20200,-77.98257660502605,,,,,,,2.081269,0.012133633
0.0001,200.0,0.0001,288.7899715900421,101,20400,-78.2137567247807,,,,,,,2.0771928,0.013035876
0.0001,200.0,0.0001,291.88160252571106,102,20600,-78.64621496421348,,,,,,,2.122656,0.014072941
0.0001,200.0,0.0001,295.02126288414,103,20800,-77.8422744614675,,,,,,,2.2086782,0.014553416
0.0001,200.0,0.0001,298.1513001918793,104,21000,-78.23257446410261,,,,,,,2.2600899,0.014372803
0.0001,200.0,0.0001,301.2725739479065,105,21200,-78.11660281404468,,,,,,,2.2398646,0.014340511
0.0001,200.0,0.0001,304.4022238254547,106,21400,-78.2842848105616,,,,,,,2.202336,0.016393654
0.0001,200.0,0.0001,307.4930329322815,107,21600,-75.00823536784523,,,,,,,2.3595645,0.013683175
