epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps
50,0.0001,55.09607934951782,-205.3833470708857,0.0001,10200,200.0,,,,,,0.71238154,0.96796656
51,0.0001,56.259002923965454,-308.56329640687716,0.0001,10400,200.0,,,,,,1.1995702,1.2384757
52,0.0001,57.881635427474976,-303.7766622345283,0.0001,10600,200.0,,,,,,1.5966117,1.6646771
53,0.0001,58.99668884277344,-311.52317697491867,0.0001,10800,200.0,,,,,,1.891102,2.1660035
54,0.0001,60.175506591796875,-302.8161263395402,0.0001,11000,200.0,,,,,,2.1643536,2.5571003
55,0.0001,61.79218578338623,-313.65395009058545,0.0001,11200,200.0,,,,,,2.4179857,2.969966
56,0.0001,62.91518545150757,-306.48582813030083,0.0001,11400,200.0,,,,,,2.6697962,3.2620218
57,0.0001,64.56578207015991,-302.9435992092799,0.0001,11600,200.0,,,,,,2.8283782,3.6281605
58,0.0001,66.26922273635864,-307.17408013880726,0.0001,11800,200.0,,,,,,2.9916258,3.9046075
59,0.0001,67.39720821380615,-314.3591756746549,0.0001,12000,200.0,,,,,,3.1120543,4.0712457
60,0.0001,69.02785134315491,-308.8838230259021,0.0001,12200,200.0,,,,,,3.1843686,4.3467684
61,0.0001,70.14386892318726,-312.2798582973047,0.0001,12400,200.0,,,,,,3.3096743,4.5675673
62,0.0001,71.31174850463867,-313.98527507748855,0.0001,12600,200.0,,,,,,3.384118,4.708072
63,0.0001,72.48062539100647,-316.90505249010414,0.0001,12800,200.0,,,,,,3.3989553,4.947472
64,0.0001,74.17612671852112,-314.12135728688395,0.0001,13000,200.0,,,,,,3.4644253,4.95706
65,0.0001,75.28313636779785,-313.4902480993943,0.0001,13200,200.0,,,,,,3.5489056,5.016539
66,0.0001,76.94971418380737,-312.2611081672832,0.0001,13400,200.0,,,,,,3.5948713,5.115115
67,0.0001,78.58232045173645,-319.27776657772796,0.0001,13600,200.0,,,,,,3.7200997,5.1725726
68,0.0001,80.25385403633118,-311.20824699907644,0.0001,13800,200.0,,,,,,3.7635074,5.338554
69,0.0001,81.4795789718628,-313.3283822876704,0.0001,14000,200.0,,,,,,3.7490456,5.459119
70,0.0001,82.56768369674683,-314.3505331896196,0.0001,14200,200.0,,,,,,3.8013296,5.364897
71,0.0001,83.70765233039856,-312.60843484021086,0.0001,14400,200.0,,,,,,3.8551943,5.380291
72,0.0001,84.8146665096283,-312.5719498199333,0.0001,14600,200.0,,,,,,3.8862786,5.4828277
73,0.0001,85.94664239883423,-314.0212580094212,0.0001,14800,200.0,,,,,,3.877591,5.8136625
74,0.0001,87.59623384475708,-307.14666206623957,0.0001,15000,200.0,,,,,,3.9846308,5.697211
75,0.0001,89.16105222702026,-314.6086895362223,0.0001,15200,200.0,,,,,,3.9112978,5.845197
76,0.0001,90.26011562347412,-313.5973650280113,0.0001,15400,200.0,,,,,,3.9289503,5.7547264
77,0.0001,91.87782716751099,-313.74142950744937,0.0001,15600,200.0,,,,,,3.9944625,5.7609973
78,0.0001,92.97186923027039,-312.6794800210994,0.0001,15800,200.0,,,,,,4.031403,5.737627
79,0.0001,94.53924345970154,-309.6837862145551,0.0001,16000,200.0,,,,,,4.063043,5.71396
80,0.0001,96.44618058204651,-311.96357049536823,0.0001,16200,200.0,,,,,,4.087916,5.880497
81,0.0001,97.60707473754883,-314.65510825027343,0.0001,16400,200.0,,,,,,4.2021794,5.8242455
82,0.0001,99.1858274936676,-312.99231780504886,0.0001,16600,200.0,,,,,,4.152072,6.094888
83,0.0001,100.8473870754242,-308.222444163919,0.0001,16800,200.0,,,,,,4.2285323,6.0213475
84,0.0001,101.9654312133789,-313.0328193963863,0.0001,17000,200.0,,,,,,4.2744603,6.1047926
85,0.0001,103.04055333137512,-314.3322554074944,0.0001,17200,200.0,,,,,,4.2926464,6.0832233
86,0.0001,104.13659739494324,-304.8068301459977,0.0001,17400,200.0,,,,,,4.3104568,6.2865696
87,0.0001,105.79088568687439,-314.85067437030705,0.0001,17600,200.0,,,,,,4.3284664,6.2756004
