actor_lr,critic_lr,rollout/return,epoch,time_elapsed,rollout/ep_steps,total_rollout_steps
0.0001,0.0001,-200.0,51,120.97329998016357,200.0,10400,,,,,,,11.64232,-8.178489
0.0001,0.0001,-84.0,52,124.05148673057556,200.0,10600,,,,,,,4.113802,-8.915437
0.0001,0.0001,-785.0,53,126.96697425842285,200.0,10800,,,,,,,1.6040944,-9.29386
0.0001,0.0001,-893.0,54,129.93347024917603,200.0,11000,,,,,,,0.94072706,-9.490134
0.0001,0.0001,-192.0,55,132.66475296020508,200.0,11200,,,,,,,0.6116865,-9.62153
0.0001,0.0001,-200.0,56,135.38617706298828,200.0,11400,,,,,,,0.54635054,-9.664543
0.0001,0.0001,-192.0,57,138.39304447174072,200.0,11600,,,,,,,0.45104805,-9.68528
0.0001,0.0001,-194.0,58,141.42314195632935,200.0,11800,,,,,,,0.46339673,-9.677357
0.0001,0.0001,18.0,59,144.4677393436432,200.0,12000,,,,,,,0.38354626,-9.668613
0.0001,0.0001,-200.0,60,147.48034048080444,200.0,12200,,,,,,,0.3895676,-9.630458
0.0001,0.0001,-162.0,61,150.47254967689514,200.0,12400,,,,,,,0.3308828,-9.603918
0.0001,0.0001,-200.0,62,153.49832606315613,200.0,12600,,,,,,,0.3951761,-9.55965
0.0001,0.0001,-160.0,63,156.50662183761597,200.0,12800,,,,,,,0.30853808,-9.487675
0.0001,0.0001,-198.0,64,159.56267142295837,200.0,13000,,,,,,,0.3140755,-9.43271
0.0001,0.0001,-196.0,65,162.59291195869446,200.0,13200,,,,,,,0.29808053,-9.342877
0.0001,0.0001,-194.0,66,165.60565161705017,200.0,13400,,,,,,,0.31803548,-9.243383
0.0001,0.0001,-194.0,67,168.65940189361572,200.0,13600,,,,,,,0.2670383,-9.141682
0.0001,0.0001,-190.0,68,171.67335963249207,200.0,13800,,,,,,,0.30178308,-9.064419
0.0001,0.0001,-200.0,69,174.7350869178772,200.0,14000,,,,,,,0.33634654,-8.940612
0.0001,0.0001,-200.0,70,177.79471611976624,200.0,14200,,,,,,,0.28341508,-8.85933
0.0001,0.0001,-42.0,71,180.84861588478088,200.0,14400,,,,,,,0.29043022,-8.713971
0.0001,0.0001,-172.0,72,183.79829835891724,200.0,14600,,,,,,,0.2724642,-8.558615
0.0001,0.0001,-200.0,73,186.83672332763672,200.0,14800,,,,,,,0.2867009,-8.539144
0.0001,0.0001,-200.0,74,189.899254322052,200.0,15000,,,,,,,0.25949618,-8.377186
0.0001,0.0001,-200.0,75,192.94234657287598,200.0,15200,,,,,,,0.25533244,-8.247593
